sex,age_group_start,age_group_end,location,mean,standard_error,lower,upper,sample_size,measure,recall_type,recall_type_value,visit_type,uncertainty_type,uncertainty_type_value,sd_individual_heterogeneity
Female,70,75,Ghana,2.30262301,0.17414718,1.96130082,2.6439452,75,continuous,Period: weeks,52,op_avg,Standard error,95,8.660254038
Male,70,75,Ghana,1.94897613,0.17951832,1.59712669,2.30082558,68,continuous,Period: weeks,52,op_avg,Standard error,95,8.246211251
Female,75,80,Ghana,2.62138239,0.23035851,2.16988801,3.07287678,72,continuous,Period: weeks,52,op_avg,Standard error,95,8.485281374
Male,75,80,Ghana,1.88535032,0.211944,1.46994771,2.30075292,45,continuous,Period: weeks,52,op_avg,Standard error,95,6.708203932
Female,80,85,Ghana,1.76785714,0.210752,1.35479081,2.18092347,103,continuous,Period: weeks,52,op_avg,Standard error,95,10.14889157
Male,80,85,Ghana,2.1,0.25483262,1.60053725,2.59946275,24,continuous,Period: weeks,52,op_avg,Standard error,95,4.898979486
Female,85,90,Ghana,2.14705882,0.29038241,1.57791976,2.71619789,344,continuous,Period: weeks,52,op_avg,Standard error,95,18.54723699
Male,85,90,Ghana,1.93333333,0.36666887,1.21467556,2.6519911,34,continuous,Period: weeks,52,op_avg,Standard error,95,5.830951895
Female,90,95,Ghana,2.95833333,0.83073473,1.33012318,4.58654348,465,continuous,Period: weeks,52,op_avg,Standard error,95,21.56385865
Male,90,95,Ghana,2.02941177,0.43069768,1.18525983,2.8735637,16,continuous,Period: weeks,52,op_avg,Standard error,95,4
Female,95,100,Ghana,3.0625,0.49686978,2.08865313,4.03634687,328,continuous,Period: weeks,52,op_avg,Standard error,95,18.11077028
Male,95,100,Ghana,1.27272727,0.31862693,0.64822997,1.89722458,11,continuous,Period: weeks,52,op_avg,Standard error,95,3.31662479
Female,0,1,Nigeria,0.47748077,0.22098599,0.04435621,0.91060535,103,continuous,Period: weeks,52,consult_avg,Standard error,95,10.14889157
Male,0,1,Nigeria,1.97121031,0.54114367,0.9105882,3.0318324,582,continuous,Period: weeks,52,consult_avg,Standard error,95,24.12467616
Female,1,5,Nigeria,1.37287562,0.21491428,0.95165136,1.79409989,119,continuous,Period: weeks,52,consult_avg,Standard error,95,10.90871211
Male,1,5,Nigeria,0.96548358,0.1885743,0.59588474,1.33508242,688,continuous,Period: weeks,52,consult_avg,Standard error,95,26.2297541
Female,5,10,Nigeria,0.81820557,0.12435129,0.57448152,1.06192962,534,continuous,Period: weeks,52,consult_avg,Standard error,95,23.10844002
Male,5,10,Nigeria,0.88897285,0.12961225,0.6349375,1.14300819,535,continuous,Period: weeks,52,consult_avg,Standard error,95,23.13006701
Female,10,15,Nigeria,0.89070573,0.13518183,0.62575423,1.15565723,483,continuous,Period: weeks,52,consult_avg,Standard error,95,21.97726098
Male,10,15,Nigeria,0.82004814,0.12738314,0.57038177,1.06971452,512,continuous,Period: weeks,52,consult_avg,Standard error,95,22.627417
Female,15,20,Nigeria,1.04498294,0.13884047,0.77286063,1.31710524,1039,continuous,Period: weeks,52,consult_avg,Standard error,95,32.23352292
Male,15,20,Nigeria,0.83622527,0.12921203,0.58297435,1.08947621,339,continuous,Period: weeks,52,consult_avg,Standard error,95,18.41195264
Female,20,25,Nigeria,1.75688507,0.22764999,1.31069929,2.20307084,880,continuous,Period: weeks,52,consult_avg,Standard error,95,29.66479395
Male,20,25,Nigeria,1.15823114,0.1722733,0.8205817,1.49588059,511,continuous,Period: weeks,52,consult_avg,Standard error,95,22.60530911
Female,25,30,Nigeria,4.43583683,0.31233389,3.82367366,5.04800002,1009,continuous,Period: weeks,52,consult_avg,Standard error,95,31.76476035
Male,25,30,Nigeria,1.97310905,0.2099237,1.56166615,2.38455195,342,continuous,Period: weeks,52,consult_avg,Standard error,95,18.49324201
Female,30,35,Nigeria,6.13466811,0.32296606,5.50166626,6.76766995,874,continuous,Period: weeks,52,consult_avg,Standard error,95,29.563491
Male,30,35,Nigeria,2.29280962,0.25209633,1.79870991,2.78690935,333,continuous,Period: weeks,52,consult_avg,Standard error,95,18.24828759
Female,35,40,Nigeria,7.04732756,0.33886662,6.3831612,7.71149392,906,continuous,Period: weeks,52,consult_avg,Standard error,95,30.09983389
Male,35,40,Nigeria,2.51727273,0.2364859,2.05376889,2.98077657,272,continuous,Period: weeks,52,consult_avg,Standard error,95,16.4924225
Female,40,45,Nigeria,7.32474434,0.32799664,6.68188274,7.96760593,826,continuous,Period: weeks,52,consult_avg,Standard error,95,28.74021573
Male,40,45,Nigeria,2.99504773,0.29855184,2.40989689,3.58019858,305,continuous,Period: weeks,52,consult_avg,Standard error,95,17.4642492
Female,45,50,Nigeria,7.43002537,0.35658334,6.73113485,8.12891589,665,continuous,Period: weeks,52,consult_avg,Standard error,95,25.78759392
Male,45,50,Nigeria,2.73001741,0.29523789,2.15136178,3.30867303,169,continuous,Period: weeks,52,consult_avg,Standard error,95,13
Female,50,55,Nigeria,7.17871111,0.40737588,6.38026906,7.97715317,753,continuous,Period: weeks,52,consult_avg,Standard error,95,27.44084547
Male,50,55,Nigeria,2.92652264,0.32965709,2.28040661,3.57263865,140,continuous,Period: weeks,52,consult_avg,Standard error,95,11.83215957
Female,55,60,Nigeria,7.67255225,0.45866919,6.77357716,8.57152734,710,continuous,Period: weeks,52,consult_avg,Standard error,95,26.64582519
Male,55,60,Nigeria,2.7011493,0.35671292,2.00200481,3.40029377,87,continuous,Period: weeks,52,consult_avg,Standard error,95,9.327379053
Female,60,65,Nigeria,6.64339086,0.44280046,5.7755179,7.5112638,762,continuous,Period: weeks,52,consult_avg,Standard error,95,27.60434748
Male,60,65,Nigeria,3.74834815,0.44694857,2.87234506,4.62435123,116,continuous,Period: weeks,52,consult_avg,Standard error,95,10.77032961
Female,65,70,Nigeria,6.59100659,0.56229252,5.4889335,7.69307968,792,continuous,Period: weeks,52,consult_avg,Standard error,95,28.14249456
Male,65,70,Nigeria,3.7945426,0.50062329,2.81333897,4.77574621,66,continuous,Period: weeks,52,consult_avg,Standard error,95,8.124038405
Female,70,75,Nigeria,7.79468596,0.64172199,6.53693399,9.05243795,656,continuous,Period: weeks,52,consult_avg,Standard error,95,25.61249695
Male,70,75,Nigeria,6.50849151,0.80797051,4.92489839,8.09208462,37,continuous,Period: weeks,52,consult_avg,Standard error,95,6.08276253
Female,75,80,Nigeria,8.40972171,0.94160106,6.56421753,10.2552259,848,continuous,Period: weeks,52,consult_avg,Standard error,95,29.12043956
Male,75,80,Nigeria,5.95779967,1.13287034,3.7374146,8.17818474,21,continuous,Period: weeks,52,consult_avg,Standard error,95,4.582575695
Female,80,85,Nigeria,8.10811689,1.08361555,5.98426943,10.2319643,710,continuous,Period: weeks,52,consult_avg,Standard error,95,26.64582519
Male,80,85,Nigeria,7.78465171,1.46702387,4.90933776,10.6599657,18,continuous,Period: weeks,52,consult_avg,Standard error,95,4.242640687
Female,85,90,Nigeria,8.53966304,2.02983219,4.56126503,12.518061,828,continuous,Period: weeks,52,consult_avg,Standard error,95,28.77498914
Male,85,90,Nigeria,16.7416203,3.47142078,9.93776056,23.54548,7,continuous,Period: weeks,52,consult_avg,Standard error,95,2.645751311
Female,90,95,Nigeria,8.32150072,2.6791863,3.07039207,13.5726094,589,continuous,Period: weeks,52,consult_avg,Standard error,95,24.2693222
Male,90,95,Nigeria,11.1428571,4.86325204,1.61105829,20.674656,17,continuous,Period: weeks,52,consult_avg,Standard error,95,4.123105626
Female,95,100,Nigeria,11.6702063,3.36549326,5.07396067,18.2664519,778,continuous,Period: weeks,52,consult_avg,Standard error,95,27.89265136
Male,95,100,Nigeria,3.9,1.88392178,0.20758117,7.59241883,10,continuous,Period: weeks,52,consult_avg,Standard error,95,3.16227766
